"","Player","Year","Pos","TS.","AST.","FG.","FT.","X3P.","X2P.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Player_year","randomPart_euclidean_12"
"6928","Kevin Durant",2015,"SF",0.633,22.2,0.51,0.854,0.403,0.565,0.6,6.4,4.3,0.9,1,2.9,1.6,27,"Kevin Durant-2015",4
"6929","Cleanthony Early",2015,"SF",0.447,9.1,0.355,0.75,0.262,0.415,1.2,4.2,2,1.3,0.7,2.2,3.2,11.7,"Cleanthony Early-2015",3
"6930","Wayne Ellington",2015,"SG",0.504,10.2,0.412,0.813,0.37,0.439,0.7,3.8,2.3,0.7,0,1.1,1.7,14,"Wayne Ellington-2015",11
"6931","Monta Ellis",2015,"SG",0.509,20.5,0.445,0.752,0.285,0.487,0.5,2.1,4.4,2,0.3,2.6,2.6,20.2,"Monta Ellis-2015",4
"6932","James Ennis",2015,"SF",0.541,7.2,0.409,0.84,0.326,0.461,1.7,4.3,1.6,0.9,0.6,1.3,3,10.7,"James Ennis-2015",11
"6933","Tyler Ennis",2015,"PG",0.411,27.3,0.361,0.714,0.279,0.396,0.6,2.5,6.4,1.6,0.4,3.7,3.2,10.6,"Tyler Ennis-2015",5
"6934","Jeremy Evans",2015,"SF",0.636,7.9,0.552,0.828,0.4,0.566,3.5,6.1,1.8,1.5,1.6,0.7,3.9,12.2,"Jeremy Evans-2015",7
"6935","Reggie Evans",2015,"PF",0.49,6.1,0.423,0.619,0,0.43,4.6,9.5,1.5,1,0.2,2.1,4.3,8.3,"Reggie Evans-2015",8
"6936","Tyreke Evans",2015,"SG",0.508,32.7,0.447,0.694,0.304,0.482,1.1,4.5,7,1.3,0.5,3.3,2.6,17.6,"Tyreke Evans-2015",10
"6937","Dante Exum",2015,"PG",0.457,16.6,0.349,0.625,0.314,0.408,0.5,2.1,3.9,0.8,0.3,2.3,2.9,7.8,"Dante Exum-2015",3
"6939","Kenneth Faried",2015,"PF",0.548,7.1,0.507,0.691,0.125,0.511,4.2,7.4,1.5,1.1,1,2,3.6,16.3,"Kenneth Faried-2015",12
"6940","Jordan Farmar",2015,"PG",0.513,18,0.386,0.909,0.361,0.426,0.5,2.3,4.6,1.4,0.3,2.2,3.5,11.4,"Jordan Farmar-2015",2
"6941","Derrick Favors",2015,"PF",0.558,9.4,0.525,0.669,0.167,0.527,3.1,6.5,1.8,0.9,1.9,1.9,3.3,18.7,"Derrick Favors-2015",12
"6942","Raymond Felton",2015,"PG",0.48,21.9,0.406,0.8,0.294,0.458,0.3,3.1,5.3,1.4,0.5,2.3,2.2,13.8,"Raymond Felton-2015",2
"6943","Landry Fields",2015,"SF",0.527,10.1,0.488,0.833,0.5,0.487,1.7,2.7,2.5,1.8,0,1.3,1.5,7.7,"Landry Fields-2015",6
"6944","Evan Fournier",2015,"SG",0.546,11.5,0.44,0.728,0.378,0.48,0.6,2.7,2.6,0.9,0,1.8,2.5,15.1,"Evan Fournier-2015",11
"6945","Randy Foye",2015,"SG",0.51,17,0.368,0.818,0.357,0.388,0.3,2.5,3.9,1.1,0.4,2,3.2,14.4,"Randy Foye-2015",2
"6948","Jimmer Fredette",2015,"PG",0.479,17.2,0.38,0.956,0.188,0.458,0.6,2.3,4.1,1.1,0.1,2.3,3,12.6,"Jimmer Fredette-2015",2
"6950","Channing Frye",2015,"PF",0.546,7.4,0.392,0.886,0.393,0.39,0.5,5.1,1.8,0.9,0.8,1.5,3.7,10.6,"Channing Frye-2015",3
"6951","Danilo Gallinari",2015,"SF",0.563,9.4,0.401,0.895,0.355,0.453,0.8,4.7,2.1,1.2,0.5,1.4,2.4,18.5,"Danilo Gallinari-2015",11
"6952","Langston Galloway",2015,"PG",0.489,17.6,0.399,0.808,0.352,0.424,0.9,3.8,3.7,1.3,0.3,1.5,3.2,13.2,"Langston Galloway-2015",3
"6954","Kevin Garnett",2015,"PF",0.496,13.1,0.467,0.8,0.143,0.475,1.8,9.9,2.9,1.7,0.6,1.7,4.1,12.2,"Kevin Garnett-2015",12
"6955","Marc Gasol",2015,"C",0.558,19.7,0.494,0.795,0.176,0.5,1.5,6.9,4.1,0.9,1.8,2.4,2.8,18.9,"Marc Gasol-2015",12
"6956","Pau Gasol",2015,"PF",0.55,14.4,0.494,0.803,0.462,0.495,3,9.4,2.8,0.3,2,2.1,2,19.4,"Pau Gasol-2015",12
"6957","Rudy Gay",2015,"SF",0.556,19,0.455,0.858,0.359,0.479,1.5,4.5,3.7,1.1,0.6,2.7,2.3,21.4,"Rudy Gay-2015",4
"6958","Alonzo Gee",2015,"SF",0.548,5.8,0.468,0.701,0.371,0.49,2,3.1,1.4,1.9,0.4,1.8,3.2,13.1,"Alonzo Gee-2015",6
"6961","Manu Ginobili",2015,"SG",0.544,28.6,0.426,0.721,0.345,0.489,0.6,4.2,6.6,1.5,0.5,3.5,3.1,16.7,"Manu Ginobili-2015",10
"6962","Rudy Gobert",2015,"C",0.627,8.2,0.604,0.623,0,0.607,4.4,8.5,1.8,1.1,3.2,1.9,2.9,11.4,"Rudy Gobert-2015",7
"6963","Drew Gooden",2015,"PF",0.469,8.6,0.399,0.773,0.39,0.401,3,6.3,2,0.9,0.4,1.2,3.8,11.5,"Drew Gooden-2015",9
"6964","Archie Goodwin",2015,"SG",0.486,12.6,0.393,0.735,0.293,0.419,1.8,3.2,3,1.2,0.6,3.2,3.7,15.5,"Archie Goodwin-2015",3
"6965","Aaron Gordon",2015,"PF",0.517,6.3,0.447,0.721,0.271,0.5,2.1,5.6,1.5,0.9,1,1.7,3.7,11,"Aaron Gordon-2015",9
"6966","Ben Gordon",2015,"SG",0.538,10.3,0.437,0.836,0.361,0.475,0.3,2.6,2.3,0.6,0,2.5,2.7,15.9,"Ben Gordon-2015",11
"6968","Eric Gordon",2015,"SG",0.544,17.6,0.411,0.805,0.448,0.38,0.5,2.3,4.1,0.9,0.2,2.2,2.6,14.6,"Eric Gordon-2015",2
"6969","Marcin Gortat",2015,"C",0.587,6.5,0.566,0.703,0,0.569,2.6,7.9,1.4,0.7,1.6,1.5,2.8,14.7,"Marcin Gortat-2015",7
"6970","Danny Granger",2015,"SF",0.527,4.4,0.401,0.757,0.357,0.449,1.2,3.5,1,0.8,0.4,1.4,3.9,11,"Danny Granger-2015",3
"6971","Jerami Grant",2015,"SF",0.47,9.4,0.352,0.591,0.314,0.383,1.3,3.9,2.1,1,1.8,2.2,3.8,10.7,"Jerami Grant-2015",1
"6972","Danny Green",2015,"SG",0.596,10.3,0.436,0.874,0.418,0.466,0.8,4.5,2.5,1.6,1.4,1.4,2.5,14.7,"Danny Green-2015",11
"6973","Draymond Green",2015,"PF",0.54,16.1,0.443,0.66,0.337,0.523,1.6,7.7,4.2,1.8,1.4,1.9,3.7,13.3,"Draymond Green-2015",6
"6974","Erick Green",2015,"PG",0.436,15.1,0.377,0.833,0.298,0.409,0.6,2.1,3.4,1.1,0,1.2,2.3,12.8,"Erick Green-2015",3
"6975","Gerald Green",2015,"SG",0.532,10.9,0.416,0.825,0.354,0.478,0.8,3.8,2.3,1,0.3,2.6,3.6,22,"Gerald Green-2015",4
"6976","JaMychal Green",2015,"PF",0.603,4,0.574,0.8,0,0.659,4.2,5.7,0.9,1.1,1.1,3.1,5.5,13.6,"JaMychal Green-2015",7
"6977","Jeff Green",2015,"SF",0.534,8.8,0.43,0.833,0.332,0.473,0.9,3.9,2,0.8,0.5,1.6,2.2,17.1,"Jeff Green-2015",11
"6978","Willie Green",2015,"SG",0.477,10.9,0.386,0.824,0.347,0.411,0.5,2.5,2.6,1,0.2,1.8,3.1,11.6,"Willie Green-2015",3
"6979","Blake Griffin",2015,"PF",0.551,26.2,0.502,0.728,0.4,0.504,1.9,5.8,5.4,1,0.5,2.3,3,22.4,"Blake Griffin-2015",4
"6980","Jorge Gutierrez",2015,"PG",0.567,19.6,0.537,0.692,0,0.579,1,4.1,4.5,1.2,0,2.5,5.1,10.9,"Jorge Gutierrez-2015",6
"6981","P.J. Hairston",2015,"SG",0.446,5.1,0.323,0.861,0.301,0.358,1.2,3.7,1.1,1.1,0.7,1.2,3.2,13.3,"P.J. Hairston-2015",3
"6983","Justin Hamilton",2015,"C",0.551,8.1,0.478,0.83,0.323,0.51,2.9,3.9,1.8,1.4,1.5,1.3,3.5,11.1,"Justin Hamilton-2015",6
"6984","Tyler Hansbrough",2015,"PF",0.597,2.8,0.521,0.698,0.143,0.538,3.6,5.4,0.7,1,0.5,0.7,4.8,9.2,"Tyler Hansbrough-2015",7
"6985","Tim Hardaway",2015,"SG",0.512,13.5,0.389,0.801,0.342,0.435,0.3,3.1,2.7,0.4,0.3,1.8,2.5,17.2,"Tim Hardaway-2015",11
"6986","James Harden",2015,"SG",0.605,34.6,0.44,0.868,0.375,0.48,0.9,4.6,6.8,1.9,0.7,3.9,2.5,26.8,"James Harden-2015",10
"6987","Maurice Harkless",2015,"SF",0.449,5.4,0.399,0.537,0.179,0.52,2,3.6,1.3,1.7,0.5,1.4,3.5,8.4,"Maurice Harkless-2015",6
"6988","Devin Harris",2015,"PG",0.559,20.4,0.418,0.815,0.357,0.481,0.3,2.6,5.1,1.7,0.3,1.8,3.1,14.2,"Devin Harris-2015",2
"6989","Gary Harris",2015,"SG",0.395,5.9,0.304,0.745,0.204,0.395,1.1,2.2,1.5,2,0.4,1.9,3.6,9.4,"Gary Harris-2015",1
"6990","Joe Harris",2015,"SG",0.537,7.7,0.4,0.6,0.369,0.472,0.5,2.5,1.9,0.5,0.1,2,4.5,9.9,"Joe Harris-2015",3
"6991","Tobias Harris",2015,"SF",0.551,8.8,0.466,0.788,0.364,0.5,1.1,5.4,1.9,1,0.5,1.7,2,17.7,"Tobias Harris-2015",11
"6992","Udonis Haslem",2015,"PF",0.488,7.4,0.448,0.703,0.2,0.459,2.6,6.8,1.7,0.8,0.5,1.5,4.1,9.4,"Udonis Haslem-2015",8
"6993","Spencer Hawes",2015,"PF",0.478,10,0.393,0.647,0.313,0.452,0.8,6.4,2.5,0.7,1.5,1.7,4.9,12,"Spencer Hawes-2015",9
"6995","Gordon Hayward",2015,"SF",0.567,21.7,0.445,0.812,0.364,0.481,0.7,4.4,4.3,1.5,0.4,2.8,1.8,20.1,"Gordon Hayward-2015",4
"6997","Gerald Henderson",2015,"SG",0.514,15.6,0.437,0.848,0.331,0.457,0.6,3.7,3.2,0.8,0.3,1.7,2.1,15.1,"Gerald Henderson-2015",11
"7000","Roy Hibbert",2015,"C",0.501,7.4,0.446,0.824,0,0.448,2.9,7.2,1.6,0.3,2.3,2,4,15,"Roy Hibbert-2015",8
"7001","J.J. Hickson",2015,"C",0.504,6.5,0.475,0.577,0,0.477,3.8,7.7,1.5,0.9,0.9,2.4,3.5,14.1,"J.J. Hickson-2015",8
"7002","Nene Hilario",2015,"PF",0.534,12,0.511,0.604,0.2,0.513,1.8,5.5,2.6,1.4,0.5,2.6,3.8,15.7,"Nene Hilario-2015",6
"7003","George Hill",2015,"PG",0.579,31.4,0.477,0.79,0.358,0.544,0.7,4.4,6.3,1.3,0.4,2,3.2,19.7,"George Hill-2015",10
"7004","Jordan Hill",2015,"C",0.494,9.5,0.459,0.738,0.273,0.462,3.3,7.3,2,0.7,1,2,3.2,16.2,"Jordan Hill-2015",12
"7005","Solomon Hill",2015,"SF",0.507,11.9,0.396,0.824,0.327,0.43,1.1,3.7,2.8,1,0.3,1.7,2.7,11,"Solomon Hill-2015",3
"7006","Kirk Hinrich",2015,"SG",0.468,13.8,0.373,0.7,0.345,0.394,0.4,2.3,3.3,1,0.3,1.6,3.2,8.4,"Kirk Hinrich-2015",3
"7007","Jrue Holiday",2015,"PG",0.522,34.9,0.446,0.855,0.378,0.469,0.9,2.8,7.6,1.7,0.6,2.5,3,16.4,"Jrue Holiday-2015",10
"7008","Justin Holiday",2015,"SG",0.498,10.1,0.387,0.822,0.321,0.444,0.7,3.3,2.6,2.2,0.7,1.6,3,13.9,"Justin Holiday-2015",6
"7010","Rodney Hood",2015,"SG",0.529,13.2,0.414,0.763,0.365,0.456,0.3,3.7,2.8,1,0.4,1.5,4,14.7,"Rodney Hood-2015",11
"7011","Al Horford",2015,"C",0.563,18.6,0.538,0.759,0.306,0.547,2,6.4,3.8,1.1,1.5,1.6,1.9,18,"Al Horford-2015",12
"7012","Dwight Howard",2015,"C",0.596,7.3,0.593,0.528,0.5,0.594,3.2,9.4,1.5,0.8,1.6,3.4,4,19,"Dwight Howard-2015",12
"7014","Robbie Hummel",2015,"SF",0.536,5.6,0.459,0.828,0.314,0.521,1.5,5,1.3,0.8,0.4,0.9,4.2,9.6,"Robbie Hummel-2015",11
"7015","Kris Humphries",2015,"PF",0.512,6.7,0.473,0.744,0,0.481,3.2,8,1.5,0.9,0.7,1.2,3.5,13.6,"Kris Humphries-2015",8
"7016","Serge Ibaka",2015,"PF",0.549,4.2,0.476,0.836,0.376,0.511,2.3,6.2,0.9,0.5,2.6,1.7,3.3,15.6,"Serge Ibaka-2015",12
"7017","Andre Iguodala",2015,"SG",0.553,14.6,0.466,0.596,0.349,0.553,0.8,3.7,4,1.5,0.4,1.5,1.7,10.5,"Andre Iguodala-2015",6
"7018","Ersan Ilyasova",2015,"PF",0.554,7.4,0.472,0.645,0.389,0.515,2.2,5.4,1.5,1,0.5,1.2,4.1,18.3,"Ersan Ilyasova-2015",9
"7019","Joe Ingles",2015,"SF",0.533,16.8,0.415,0.75,0.356,0.493,0.5,3.3,3.9,1.5,0.2,2.1,2.7,8.5,"Joe Ingles-2015",2
"7020","Kyrie Irving",2015,"PG",0.583,25,0.468,0.863,0.415,0.491,0.7,2.4,5.1,1.5,0.3,2.5,1.9,21.5,"Kyrie Irving-2015",4
"7021","Jarrett Jack",2015,"PG",0.522,27.3,0.439,0.881,0.267,0.477,0.3,3.6,6,1.2,0.2,3.1,2.3,15.4,"Jarrett Jack-2015",10
"7022","Reggie Jackson",2015,"PG",0.511,34.8,0.434,0.83,0.299,0.477,0.9,4.3,7.3,1,0.1,3,2.7,17.7,"Reggie Jackson-2015",10
"7024","LeBron James",2015,"SF",0.577,38.6,0.488,0.71,0.354,0.536,0.7,5.3,7.4,1.6,0.7,3.9,1.9,25.2,"LeBron James-2015",10
"7025","Al Jefferson",2015,"C",0.5,11.6,0.481,0.655,0.4,0.482,1.8,8.1,2,0.8,1.5,1.2,2.5,19.6,"Al Jefferson-2015",12
"7026","Cory Jefferson",2015,"PF",0.48,4.8,0.449,0.574,0.133,0.48,3.2,6.6,1.1,0.7,1.4,1.4,4.1,12.4,"Cory Jefferson-2015",8
"7027","Richard Jefferson",2015,"SF",0.577,7,0.444,0.684,0.426,0.462,0.7,4.6,1.8,0.9,0.3,1.5,3.3,12.5,"Richard Jefferson-2015",11
"7028","John Jenkins",2015,"SG",0.629,7,0.495,0.842,0.404,0.596,0.2,4.5,1.6,1.2,0,1,1.8,16.4,"John Jenkins-2015",11
"7029","Brandon Jennings",2015,"PG",0.522,39.9,0.401,0.839,0.36,0.428,0.6,2.5,8.3,1.4,0.1,2.8,2,19.4,"Brandon Jennings-2015",10
"7030","Jonas Jerebko",2015,"PF",0.549,9,0.446,0.848,0.386,0.481,2.7,5.5,2.1,1.3,0.5,1.3,4,13.1,"Jonas Jerebko-2015",9
"7032","Amir Johnson",2015,"PF",0.603,9.4,0.574,0.612,0.413,0.59,2.9,5.4,2.1,0.8,1.1,2,4.1,12.6,"Amir Johnson-2015",7
"7033","Chris Johnson",2015,"SF",0.515,4.6,0.403,0.875,0.295,0.576,0.5,3.2,1,1.8,0.5,1,3,11.4,"Chris Johnson-2015",6
"7034","James Johnson",2015,"PF",0.617,11.4,0.589,0.657,0.216,0.643,1.6,5.2,2.5,1.4,1.8,2.1,4.1,14.6,"James Johnson-2015",7
"7035","Joe Johnson",2015,"SG",0.523,17.1,0.435,0.801,0.359,0.472,0.7,4.3,3.8,0.8,0.2,1.8,1.5,14.9,"Joe Johnson-2015",11
"7036","Nick Johnson",2015,"SG",0.43,6.3,0.347,0.68,0.238,0.389,1.8,3.6,1.5,1,0.4,2.6,4.7,10.2,"Nick Johnson-2015",1
"7037","Tyler Johnson",2015,"SG",0.506,11.3,0.419,0.681,0.375,0.437,0.8,4,2.5,2,0.5,1.8,2.5,11.3,"Tyler Johnson-2015",6
"7038","Wesley Johnson",2015,"SF",0.509,8.6,0.414,0.804,0.351,0.451,1.1,4,2,0.9,0.7,1.4,2.6,12.1,"Wesley Johnson-2015",3
"7039","Dahntay Jones",2015,"SF",0.406,2.1,0.286,0.818,0,0.353,0.3,2.9,0.6,0.9,0,0.3,6.7,6.1,"Dahntay Jones-2015",1
"7040","James Jones",2015,"SF",0.565,5.4,0.368,0.848,0.36,0.423,0.5,2.9,1.3,0.7,0.4,0.7,3.6,13.5,"James Jones-2015",11
"7041","Perry Jones",2015,"SF",0.459,4.2,0.397,0.649,0.233,0.476,0.3,4,1,1,0.5,1.4,2.9,10.5,"Perry Jones-2015",3
"7042","Terrence Jones",2015,"PF",0.567,6.9,0.528,0.606,0.351,0.553,3.2,5.8,1.5,0.7,2.4,1.5,3.2,15.6,"Terrence Jones-2015",7
"7043","DeAndre Jordan",2015,"C",0.638,3.2,0.71,0.397,0.25,0.713,5.1,10.6,0.8,1,2.3,1.4,3.1,12.1,"DeAndre Jordan-2015",7
"7045","Cory Joseph",2015,"PG",0.564,19.7,0.504,0.734,0.364,0.52,1.1,3.7,4.7,1.1,0.4,1.7,2.6,13.3,"Cory Joseph-2015",11
"7047","Enes Kanter",2015,"C",0.564,4.8,0.519,0.782,0.356,0.528,4.7,6.6,0.9,0.6,0.5,2.4,3.2,19.6,"Enes Kanter-2015",12
"7048","Sergey Karasev",2015,"SG",0.508,12.3,0.403,0.763,0.296,0.475,1.4,2.9,3,1.5,0.1,1.6,2.9,9.9,"Sergey Karasev-2015",3
"7049","Ryan Kelly",2015,"PF",0.473,10.9,0.337,0.832,0.336,0.337,0.4,3.9,2.7,0.9,0.7,1.1,3.4,9.7,"Ryan Kelly-2015",3
"7054","Brandon Knight",2015,"PG",0.543,27.4,0.422,0.874,0.389,0.441,0.5,3.8,5.8,1.6,0.2,3.3,2,18.9,"Brandon Knight-2015",10
"7055","Kyle Korver",2015,"SG",0.699,12.1,0.487,0.898,0.492,0.47,0.2,4.3,2.9,0.8,0.6,1.6,2.1,13.6,"Kyle Korver-2015",11
"7058","Jeremy Lamb",2015,"SG",0.538,10.9,0.416,0.891,0.342,0.475,0.5,5.6,2.5,1.2,0.3,1.5,3,16.8,"Jeremy Lamb-2015",11
"7060","Shane Larkin",2015,"PG",0.504,19.4,0.433,0.782,0.302,0.481,0.6,2.8,4.4,1.8,0.2,1.6,2.9,9.1,"Shane Larkin-2015",2
"7061","Joffrey Lauvergne",2015,"C",0.459,7.5,0.404,0.643,0.188,0.452,3.6,6.7,1.7,1.1,1.3,3,5.8,12.5,"Joffrey Lauvergne-2015",8
"7062","Zach LaVine",2015,"PG",0.515,24,0.422,0.842,0.341,0.449,0.5,3.5,5.2,1,0.2,3.7,3,14.7,"Zach LaVine-2015",2
"7063","Ty Lawson",2015,"PG",0.526,43,0.436,0.73,0.341,0.463,0.6,2.6,9.7,1.2,0.1,2.5,1.7,15.4,"Ty Lawson-2015",10
"7065","Courtney Lee",2015,"SG",0.555,9.8,0.448,0.86,0.402,0.473,0.3,2.4,2.3,1.1,0.2,1.2,2,11.9,"Courtney Lee-2015",11
"7066","David Lee",2015,"PF",0.541,13.7,0.511,0.654,0,0.514,3.2,7,3.4,1.2,1,2,3.3,15.5,"David Lee-2015",12
"7068","Alex Len",2015,"C",0.542,3.1,0.507,0.702,0.333,0.509,3.4,7.4,0.8,0.8,2.5,1.8,5.1,10.2,"Alex Len-2015",7
"7069","Kawhi Leonard",2015,"SF",0.567,13,0.479,0.802,0.349,0.519,1.5,6.7,2.9,2.6,0.8,1.7,2.3,18.7,"Kawhi Leonard-2015",6
"7070","Meyers Leonard",2015,"C",0.631,5.8,0.51,0.938,0.42,0.586,2,8.7,1.4,0.4,0.6,1.7,4.8,13.9,"Meyers Leonard-2015",9
"7071","Jon Leuer",2015,"PF",0.478,8.8,0.443,0.627,0.241,0.467,2.2,6.9,2,0.7,0.4,1.5,3.8,12.5,"Jon Leuer-2015",9
"7072","Damian Lillard",2015,"PG",0.56,29,0.434,0.864,0.343,0.5,0.6,4,6.2,1.2,0.3,2.7,2,21.2,"Damian Lillard-2015",10
"7073","Jeremy Lin",2015,"PG",0.539,28.6,0.424,0.795,0.369,0.444,0.5,3.2,6.4,1.5,0.6,3.1,3.6,15.7,"Jeremy Lin-2015",10
"7074","Shaun Livingston",2015,"PG",0.529,24.2,0.5,0.714,0,0.503,1.1,3.4,6.4,1.2,0.5,2.5,2.7,11.3,"Shaun Livingston-2015",2
"7075","Brook Lopez",2015,"C",0.558,4.5,0.513,0.814,0.1,0.517,3.7,5.5,0.9,0.7,2.2,1.8,3.5,21.2,"Brook Lopez-2015",12
"7076","Robin Lopez",2015,"C",0.574,5.1,0.535,0.772,0,0.537,4.2,4.5,1.2,0.4,1.8,1.6,2.7,12.4,"Robin Lopez-2015",7
"7077","Kevin Love",2015,"PF",0.562,10.7,0.434,0.804,0.367,0.48,2,8.4,2.4,0.7,0.6,1.7,2,17.5,"Kevin Love-2015",12
"7078","Kyle Lowry",2015,"PG",0.527,32.4,0.412,0.808,0.338,0.457,0.8,4.1,7.1,1.6,0.2,2.6,3.2,18.6,"Kyle Lowry-2015",10
"7080","John Lucas III",2015,"PG",0.461,36,0.404,1,0.31,0.44,0.5,1.6,7.9,1.1,0,2.1,2.4,13,"John Lucas III-2015",2
"7081","Shelvin Mack",2015,"PG",0.489,28.6,0.401,0.806,0.315,0.467,0.3,3.1,6.7,1.3,0.1,2.1,1.4,12.9,"Shelvin Mack-2015",2
"7084","Shawn Marion",2015,"SF",0.489,6.9,0.446,0.765,0.261,0.484,2.1,4.5,1.7,0.9,0.9,1.1,1.9,9,"Shawn Marion-2015",3
"7085","Kendall Marshall",2015,"PG",0.562,31.1,0.455,0.889,0.391,0.509,0.2,2.2,7.4,1.8,0,3,2.2,10.2,"Kendall Marshall-2015",10
"7088","Kevin Martin",2015,"SG",0.549,12.5,0.427,0.881,0.393,0.442,0.5,3.4,2.5,0.9,0,2.1,2.1,21.5,"Kevin Martin-2015",4
"7089","Wesley Matthews",2015,"SG",0.586,10.8,0.448,0.752,0.389,0.534,0.7,3.3,2.5,1.4,0.2,1.4,2.3,17,"Wesley Matthews-2015",11
"7091","O.J. Mayo",2015,"SG",0.529,19.4,0.422,0.827,0.357,0.465,0.6,3.3,4.2,1.2,0.4,2.7,3.5,17.1,"O.J. Mayo-2015",4
"7092","Luc Mbah a Moute",2015,"PF",0.466,9.8,0.395,0.589,0.307,0.435,1.5,4.6,2,1.5,0.4,1.9,2,12.4,"Luc Mbah a Moute-2015",3
"7094","Ray McCallum",2015,"PG",0.496,21.3,0.438,0.679,0.306,0.479,1.3,3.2,4.7,1.1,0.3,2.1,2.3,12.6,"Ray McCallum-2015",2
"7095","C.J. McCollum",2015,"SG",0.534,10.3,0.436,0.699,0.396,0.46,0.5,2.8,2.4,1.6,0.3,1.8,3,15.7,"C.J. McCollum-2015",6
"7096","K.J. McDaniels",2015,"SG",0.494,9.3,0.396,0.752,0.287,0.454,1.7,3.6,1.9,1.2,1.9,2.8,3.4,13,"K.J. McDaniels-2015",9
"7097","Doug McDermott",2015,"SF",0.48,3,0.402,0.667,0.317,0.455,0.7,4.1,0.7,0.4,0.1,1.9,3.3,12.2,"Doug McDermott-2015",3
"7098","Mitch McGary",2015,"PF",0.55,4.6,0.533,0.625,0,0.54,3.9,8.3,1,1.2,1.2,2.3,5.3,14.9,"Mitch McGary-2015",7
"7100","Ben McLemore",2015,"SG",0.552,8.4,0.437,0.813,0.358,0.507,0.4,2.8,1.9,1,0.3,1.9,3,13.4,"Ben McLemore-2015",11
"7103","Jodie Meeks",2015,"SG",0.548,8.8,0.416,0.906,0.349,0.46,0.3,2.3,1.9,1.5,0.1,1.4,1.9,16.3,"Jodie Meeks-2015",11
"7105","Khris Middleton",2015,"SF",0.563,12.7,0.467,0.859,0.407,0.494,0.7,4.5,2.8,1.8,0.2,1.7,2.8,16,"Khris Middleton-2015",11
"7106","C.J. Miles",2015,"SG",0.525,7.1,0.398,0.807,0.345,0.459,0.4,3.8,1.5,1.2,0.5,1.4,2.6,18.4,"C.J. Miles-2015",11
"7107","Andre Miller",2015,"PG",0.548,34.5,0.5,0.753,0.206,0.539,1.1,3.3,8.2,0.9,0.2,3,3,10.2,"Andre Miller-2015",10
"7109","Mike Miller",2015,"SF",0.471,9,0.325,0.75,0.327,0.313,0.2,4.5,2.4,0.7,0.2,1.2,3.8,5.6,"Mike Miller-2015",3
"7111","Patrick Mills",2015,"PG",0.496,16.9,0.381,0.825,0.341,0.429,0.9,2.4,3.9,1.3,0.1,1.6,2.6,15.8,"Patrick Mills-2015",2
"7112","Elijah Millsap",2015,"SG",0.45,9.7,0.34,0.674,0.311,0.358,1.1,4.8,2.3,2.2,0.6,2.6,4.8,9.7,"Elijah Millsap-2015",1
"7113","Paul Millsap",2015,"PF",0.565,15.4,0.476,0.757,0.356,0.513,2.1,6.5,3.4,2,1,2.5,3,18.3,"Paul Millsap-2015",6
"7114","Nikola Mirotic",2015,"PF",0.556,9.7,0.405,0.803,0.316,0.495,1.4,7.4,2.1,1.2,1.2,1.9,3.7,18.1,"Nikola Mirotic-2015",12
"7117","E'Twaun Moore",2015,"SG",0.504,10.4,0.446,0.6,0.342,0.485,0.9,2.4,2.4,1.4,0.4,1,3.2,10.6,"E'Twaun Moore-2015",6
"7119","Darius Morris",2015,"PG",0.377,24.7,0.34,0.444,0.212,0.397,0.8,2.4,5.8,1.1,0,2.5,2.4,10,"Darius Morris-2015",5
"7120","Marcus Morris",2015,"PF",0.52,10.2,0.434,0.628,0.358,0.487,1.3,5.5,2.3,1.1,0.3,1.3,3.3,14.9,"Marcus Morris-2015",6
"7121","Markieff Morris",2015,"PF",0.523,12.4,0.465,0.763,0.318,0.494,1.5,5.5,2.7,1.4,0.5,2.4,3.4,17.5,"Markieff Morris-2015",6
"7122","Anthony Morrow",2015,"SG",0.604,5.2,0.463,0.888,0.434,0.497,0.8,3.1,1.2,1.1,0.2,0.8,2.7,15.7,"Anthony Morrow-2015",11
"7123","Donatas Motiejunas",2015,"PF",0.553,10.8,0.504,0.602,0.368,0.536,2.4,5,2.3,1,0.6,2.2,3.6,15.1,"Donatas Motiejunas-2015",9
"7124","Timofey Mozgov",2015,"C",0.594,4.3,0.555,0.718,0.333,0.557,3.6,6.8,1,0.6,1.7,2,4,13.8,"Timofey Mozgov-2015",7
"7125","Shabazz Muhammad",2015,"SG",0.556,9.6,0.489,0.717,0.392,0.503,2.6,3.8,1.8,0.7,0.3,1.5,2,21.3,"Shabazz Muhammad-2015",11
"7127","Mike Muscala",2015,"PF",0.608,8,0.55,0.88,0.409,0.574,3.7,4.8,1.8,1.1,1.4,1.5,3.7,14.1,"Mike Muscala-2015",12
"7128","Shabazz Napier",2015,"PG",0.517,19.9,0.382,0.786,0.364,0.4,0.6,3.4,4.6,1.4,0.1,2.9,2.7,9.3,"Shabazz Napier-2015",5
"7129","Gary Neal",2015,"SG",0.483,14.5,0.374,0.867,0.305,0.407,0.4,3.5,3,0.7,0,2,2.7,16.4,"Gary Neal-2015",3
"7130","Jameer Nelson",2015,"PG",0.503,27.8,0.407,0.667,0.345,0.472,0.8,2.9,6.5,1.2,0.2,2.8,3.5,13.4,"Jameer Nelson-2015",2
"7131","Andrew Nicholson",2015,"PF",0.483,7.3,0.437,0.6,0.317,0.47,1.2,4.8,1.6,0.4,0.9,1.8,3.7,14.2,"Andrew Nicholson-2015",9
