"","Player","Year","Pos","TS.","AST.","FG.","FT.","X3P.","X2P.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Player_year","randomPart_euclidean_12"
"80","Doug Christie",2000,"SG",0.526,23,0.407,0.843,0.36,0.434,1,3.5,5.1,1.6,0.7,2.3,2.7,14.4,"Doug Christie-2000",2
"81","Keon Clark",2000,"C",0.573,6.2,0.542,0.688,0.125,0.548,3.2,6.7,1.4,0.9,2.2,2.4,4.5,13.5,"Keon Clark-2000",7
"82","Keith Closs",2000,"C",0.514,5,0.487,0.59,0,0.495,2.9,5,1.1,0.6,3.2,1.5,3.5,10.4,"Keith Closs-2000",7
"83","Derrick Coleman",2000,"PF",0.541,13.5,0.456,0.785,0.362,0.471,1.9,7.8,2.7,0.5,2,2.7,3,19,"Derrick Coleman-2000",12
"84","Bimbo Coles",2000,"PG",0.494,24.6,0.455,0.817,0.205,0.472,0.6,2.7,5.4,1.1,0.2,1.9,3.3,12.1,"Bimbo Coles-2000",2
"86","Tyrone Corbin",2000,"SF",0.415,8.7,0.356,0.846,0.227,0.384,1.5,4.8,2.3,1.4,0.2,1.1,3.8,8.4,"Tyrone Corbin-2000",3
"87","Chris Crawford",2000,"PF",0.476,8,0.397,0.778,0.259,0.416,2.7,2.6,1.8,0.9,0.9,2,4.5,13.6,"Chris Crawford-2000",3
"88","Austin Croshere",2000,"PF",0.553,7.6,0.441,0.848,0.362,0.47,2.6,7.3,1.7,0.8,1.1,2.3,3.9,15.9,"Austin Croshere-2000",9
"89","John Crotty",2000,"PG",0.557,20.9,0.422,0.86,0.413,0.427,0.7,2.2,4.9,1,0.2,2.1,4,12.5,"John Crotty-2000",2
"91","Vonteego Cummings",2000,"PG",0.484,22.6,0.405,0.751,0.325,0.429,1.1,2.5,5,1.8,0.3,2.7,3.5,14.2,"Vonteego Cummings-2000",5
"92","Bill Curley",2000,"SF",0.481,6.8,0.426,0.72,0,0.433,2.1,3.7,1.6,1.5,0.5,2.4,7.1,8.9,"Bill Curley-2000",8
"93","Dell Curry",2000,"SG",0.542,14.1,0.427,0.75,0.393,0.467,0.4,2.9,2.9,1.1,0.3,1.3,2.2,16.7,"Dell Curry-2000",11
"94","Michael Curry",2000,"SG",0.559,8.3,0.48,0.839,0.2,0.484,0.5,1.9,1.9,0.7,0.1,1.6,4.7,11.3,"Michael Curry-2000",11
"96","Antonio Daniels",2000,"SG",0.541,24.4,0.474,0.713,0.333,0.507,0.5,2.1,5.3,1.7,0.2,1.7,2.2,12.7,"Antonio Daniels-2000",2
"97","Kornel David",2000,"SF",0.493,7,0.427,0.804,0,0.435,2,4.2,1.3,1.3,0.2,2.5,4.3,13.6,"Kornel David-2000",8
"99","Baron Davis",2000,"PG",0.486,32.6,0.42,0.634,0.225,0.488,1.1,2.8,7.3,2.3,0.4,3.3,4.8,11.5,"Baron Davis-2000",5
"102","Emanual Davis",2000,"PG",0.458,14.9,0.364,0.684,0.301,0.419,0.8,4.4,3.6,2,0.3,2.3,3.7,11.1,"Emanual Davis-2000",5
"103","Hubert Davis",2000,"PG",0.585,11.2,0.468,0.87,0.491,0.455,0.3,2.3,2.8,0.5,0.1,1.4,2.2,11.6,"Hubert Davis-2000",11
"104","Mark Davis",2000,"SF",0.453,12.8,0.409,0.66,0,0.415,2.4,4.1,2.9,1.9,0.3,3.1,4,11.1,"Mark Davis-2000",5
"105","Ricky Davis",2000,"SG",0.542,18.9,0.503,0.765,0,0.514,1.8,3.4,3.9,1.9,0.5,2.9,2.5,14.3,"Ricky Davis-2000",6
"106","Todd Day",2000,"SG",0.524,10.7,0.394,0.667,0.388,0.4,1.2,3.7,2.5,1.7,0.8,1.9,4.9,15.1,"Todd Day-2000",3
"108","Vinny Del Negro",2000,"PG",0.51,19.6,0.471,0.897,0.333,0.482,0.3,2.9,4.8,1.1,0,1.4,2.4,10.4,"Vinny Del Negro-2000",2
"109","Tony Delk",2000,"PG",0.485,12.4,0.43,0.797,0.225,0.464,1.9,2.7,2.9,1.8,0.3,1.7,3.1,15.6,"Tony Delk-2000",6
"111","Michael Dickerson",2000,"SG",0.53,12.2,0.436,0.83,0.409,0.444,0.9,2.3,2.4,1.3,0.5,1.9,2.6,17.4,"Michael Dickerson-2000",11
"112","Vlade Divac",2000,"C",0.552,15.4,0.503,0.691,0.269,0.511,2.6,7.3,3.7,1.6,1.6,2.9,3.8,15.2,"Vlade Divac-2000",12
"113","Michael Doleac",2000,"C",0.49,7.6,0.452,0.842,0.5,0.452,2.4,6.6,1.7,0.8,0.9,1.8,6,15.2,"Michael Doleac-2000",9
"114","Sherman Douglas",2000,"PG",0.586,18.2,0.5,0.893,0.313,0.541,1.5,1.9,4,2,0,2.8,3,14,"Sherman Douglas-2000",4
"115","Bryce Drew",2000,"PG",0.481,19.7,0.383,0.849,0.362,0.396,0.6,2.2,4.5,1.1,0,1.8,2.2,11.7,"Bryce Drew-2000",2
"117","Tim Duncan",2000,"PF",0.555,15.5,0.49,0.761,0.091,0.494,3.3,8.2,2.9,0.8,2.1,3,2.6,21.5,"Tim Duncan-2000",12
"118","Howard Eisley",2000,"PG",0.492,26.9,0.418,0.824,0.368,0.434,0.4,2.5,6,1,0.2,2.3,3.8,12.2,"Howard Eisley-2000",2
"120","Mario Elie",2000,"SF",0.565,13.3,0.427,0.846,0.398,0.446,0.8,3.3,3.1,1.2,0.1,2.1,2.5,9.6,"Mario Elie-2000",11
"122","Dale Ellis",2000,"SG",0.54,3.8,0.415,0.692,0.37,0.492,0.8,2.7,0.9,0.8,0,1.3,2.9,11.4,"Dale Ellis-2000",11
"123","LaPhonso Ellis",2000,"PF",0.481,7.6,0.45,0.695,0.143,0.465,2.7,5.3,1.6,0.9,0.7,1.4,3.7,13.4,"LaPhonso Ellis-2000",8
"126","Patrick Ewing",2000,"C",0.516,5.2,0.466,0.731,0,0.467,2.5,8.2,1,0.6,1.5,2.5,3.5,16.4,"Patrick Ewing-2000",12
"127","Tony Farmer",2000,"PF",0.542,9.5,0.407,0.766,0.182,0.444,3.5,5.3,2.2,2,0.5,2.5,5,14,"Tony Farmer-2000",6
"128","Jamie Feick",2000,"C",0.477,4.5,0.428,0.707,1,0.424,4.2,7.9,1.1,0.7,0.6,0.9,3.3,7.4,"Jamie Feick-2000",9
"129","Danny Ferry",2000,"PF",0.571,8.3,0.497,0.912,0.44,0.511,1.5,5,1.8,0.6,0.7,1.5,4.9,12.6,"Danny Ferry-2000",9
"130","Michael Finley",2000,"SF",0.522,21.3,0.457,0.82,0.401,0.467,1.3,4.1,4.6,1.1,0.3,2,1.8,19.3,"Michael Finley-2000",4
"131","Derek Fisher",2000,"PG",0.449,17.1,0.346,0.724,0.313,0.363,0.4,2.4,4.3,1.6,0.1,1.5,3,9.8,"Derek Fisher-2000",5
"133","Greg Foster",2000,"PF",0.43,8.7,0.406,0.643,0.2,0.421,0.8,4.6,2.1,0.5,0.9,1.4,5.3,10.2,"Greg Foster-2000",1
"135","Rick Fox",2000,"SF",0.502,14.4,0.414,0.808,0.326,0.464,1.5,3.3,3.4,1.3,0.6,2.1,5,13.1,"Rick Fox-2000",3
"137","Steve Francis",2000,"PG",0.543,31.6,0.445,0.786,0.345,0.483,2,3.3,6.6,1.5,0.4,4,3,18,"Steve Francis-2000",10
"139","Lawrence Funderburke",2000,"PF",0.57,5,0.523,0.706,0,0.526,3.4,4.8,1.2,1.1,0.7,1.4,3.2,16.9,"Lawrence Funderburke-2000",7
"140","Kevin Garnett",2000,"PF",0.545,21.5,0.497,0.765,0.37,0.504,2.5,8.1,4.5,1.3,1.4,3,2.3,20.6,"Kevin Garnett-2000",12
"143","Pat Garrity",2000,"SF",0.532,6.2,0.441,0.721,0.401,0.461,1.1,4,1.4,0.8,0.5,2.1,4.8,16.4,"Pat Garrity-2000",9
"144","Chris Gatling",2000,"PF",0.525,6.7,0.455,0.713,0.257,0.474,3.1,6.9,1.4,1.6,0.5,3.4,4.9,20.2,"Chris Gatling-2000",12
"145","Matt Geiger",2000,"C",0.483,4.9,0.441,0.779,0,0.444,3.9,6,1,0.7,0.6,2.3,5,16.1,"Matt Geiger-2000",8
"146","Devean George",2000,"SF",0.478,5.5,0.389,0.659,0.34,0.412,3,4.8,1.3,1,0.4,2.2,5.6,16.2,"Devean George-2000",9
"147","Kendall Gill",2000,"SF",0.465,15.3,0.414,0.71,0.256,0.428,1.3,3.1,3.2,2.1,0.6,1.4,3.2,15.2,"Kendall Gill-2000",6
"148","Armen Gilliam",2000,"PF",0.486,9.3,0.436,0.779,0,0.438,3.3,6.3,1.9,0.6,0.7,2.5,3.8,15.3,"Armen Gilliam-2000",8
"149","Dion Glover",2000,"SG",0.483,9.9,0.386,0.729,0.267,0.429,1.2,1.9,2.2,1.2,0.3,2.3,2.3,15.7,"Dion Glover-2000",3
"150","Brian Grant",2000,"PF",0.54,7.7,0.491,0.675,0.5,0.491,3.3,6.1,1.7,0.9,0.8,2.3,4.5,12.5,"Brian Grant-2000",9
"152","Horace Grant",2000,"PF",0.472,10.2,0.444,0.721,0,0.447,2.2,5.7,2.5,0.7,0.8,0.8,2.6,8.2,"Horace Grant-2000",8
"154","A.C. Green",2000,"PF",0.482,5.9,0.447,0.695,0.25,0.449,3,6.1,1.5,1,0.3,1,2.4,7.7,"A.C. Green-2000",3
"155","Adrian Griffin",2000,"SG",0.503,13.4,0.424,0.753,0.281,0.447,2.4,4.6,3.3,2.2,0.3,1.7,4.1,9.1,"Adrian Griffin-2000",6
"156","Tom Gugliotta",2000,"PF",0.519,11.6,0.481,0.775,0.125,0.485,2.9,5.8,2.5,1.6,0.6,2.2,3.1,15,"Tom Gugliotta-2000",6
"157","Darvin Ham",2000,"SF",0.545,7.5,0.555,0.449,0,0.559,3.9,4,1.9,1.3,1.3,1.3,4.6,8,"Darvin Ham-2000",7
"158","Richard Hamilton",2000,"SG",0.482,13.7,0.42,0.774,0.364,0.428,1,2.4,2.8,0.7,0.2,2.2,3.7,16.8,"Richard Hamilton-2000",3
